chip_id,tier,lat,lon,area_m2,polygon_year,half_size_km,aoi_px_h,aoi_px_w,det_px,det_frac,n_polys_in_aoi,n_scenes_used
c-000235_r+001895,large,39.899658682093175,-5.402946883884524,2034781.2149139845,2021,3.5,913,913,112532,0.13500022193723615,10,3
c+000481_r+002925,large,55.647764460424625,11.075663028408627,2298298.8081536223,2017,3.5,1241,1241,28328,0.01839383772671697,1,1
c-000133_r+001745,large,37.2168765231883,-3.0566274235320368,2805260.801407152,2024,3.5,880,880,81293,0.10497546487603306,7,1
c-000144_r+001849,large,39.09610964052079,-3.3050926455446357,3756002.4261080027,2023,3.5,903,903,83851,0.10283305678499992,14,1
c+000913_r+001990,large,41.56037520665544,21.01041056543021,2796856.894086153,2024,3.5,937,936,29235,0.033334017458884056,1,1
c-000048_r+001986,large,41.49414079459064,-1.094503496690673,3348287.8130088826,2021,3.5,935,936,72923,0.08332533479592304,6,1
c-000228_r+001860,large,39.285661979861935,-5.232549833282899,2369276.198044982,2023,3.5,905,905,83182,0.10156222337535484,5,1
c-000255_r+001747,large,37.25278299139971,-5.852461036998949,2548707.615875252,2020,3.5,880,881,118848,0.15329687338767928,8,1
c-000091_r+001879,large,39.62122646114382,-2.0842209342756775,2365735.6650249716,2017,3.5,910,909,161857,0.19567088576989566,15,4
c-000220_r+001775,large,37.75407055743411,-5.058142043917229,2936098.272184574,2017,3.5,886,886,37038,0.04718240602499885,3,3
c-000248_r+001747,large,37.246635559259616,-5.688733249795656,3488718.4424927062,2021,3.5,880,880,140409,0.18131327479338843,2,1
c-000012_r+001971,large,41.23601050508978,-0.26404131498097483,8788443.85598395,2020,5.0,1331,1331,120267,0.06788758614577765,28,2
c+000399_r+002929,large,55.702210236502744,9.191233693437113,4550402.008452542,2021,3.5,1243,1243,134117,0.08680436672234991,9,1
c-000070_r+001804,medium,38.28325000138828,-1.6003963491274962,909564.5739609511,2017,2.5,638,638,9309,0.02286976346537475,11,1
c-000247_r+001891,medium,39.83400612558428,-5.661205835458207,1122567.9620701303,2017,3.5,912,913,41029,0.04927485059856652,11,3
c-000060_r+001787,medium,37.97195781618986,-1.3651359897938216,1666562.510763878,2019,3.5,889,889,78458,0.09927358630227465,15,2
c+000294_r+002508,medium,49.854116749124124,6.780647016625898,640572.3408511295,2017,2.5,776,776,6421,0.010662995536188755,6,2
c+000900_r+002401,medium,48.24054877120569,20.710171264182442,600382.6968881771,2023,2.5,752,751,25559,0.04525703317562399,2,1
c+000243_r+002158,medium,44.39143634098059,5.593497714894423,1083283.9047210915,2024,3.5,980,981,45967,0.04781355967463438,6,2
c+001208_r+001883,medium,39.69300579868607,27.797558436427273,742054.5690958425,2017,2.5,650,650,8661,0.02049940828402367,5,1
c+000598_r+002626,medium,51.57041654150548,13.752381902278957,1128562.4694844766,2017,3.5,1127,1127,40678,0.0320266681573289,8,1
c-000215_r+001975,medium,41.30123098217554,-4.939988872618359,1388442.1655646646,2024,3.5,933,933,15152,0.01740630840826248,3,1
c-000282_r+001830,medium,38.75007062450671,-6.481018428981097,1055802.6758643242,2023,3.5,899,899,67616,0.08366235627028425,15,1
c+000943_r+001922,medium,40.384832795655925,21.705143235026156,810842.5014160686,2024,2.5,657,657,30520,0.07070559644525992,16,1
c+000571_r+001981,medium,41.39944728976553,13.146217892052364,1249656.4745504612,2023,3.5,934,934,26508,0.030386676998839922,20,1
c-000325_r+001911,medium,40.185056553633316,-7.451583424268149,1052610.1850750737,2024,3.5,917,917,26676,0.031723568746885734,5,1
c+000775_r+002281,medium,46.37110635836675,17.8391596389061,1449819.924040325,2021,3.5,1016,1015,35685,0.03460397191730344,9,1
c-000232_r+001894,medium,39.89325550175049,-5.317863186430842,553873.4995793282,2017,2.5,653,653,8031,0.018834030238573763,3,1
c+001018_r+001807,medium,38.34114185354379,23.41488484170456,939229.6294998425,2023,2.5,638,639,68827,0.16882521180724192,12,1
c+000596_r+002623,medium,51.53837756757495,13.722118937268256,530187.8692482808,2019,2.5,805,805,51028,0.07874387562208249,3,1
c-000152_r+001857,medium,39.23779836512494,-3.479858525606532,1515891.3225853252,2021,3.5,905,905,43608,0.05324379597692378,2,1
c+000514_r+002683,medium,52.38729273476048,11.821968253413827,968045.3901460685,2017,2.5,820,821,14078,0.020911440539496746,18,1
c+000579_r+002611,medium,51.35870994339851,13.332561857747782,507652.554966579,2020,2.5,801,801,78043,0.12163790268406689,5,1
c+000627_r+002634,medium,51.683285773888336,14.439267265204123,1211309.1975233583,2021,3.5,1130,1130,38327,0.030015662933667475,9,1
c-000057_r+001836,medium,38.85585205509152,-1.3034872512359832,1590756.2668165083,2020,3.5,900,900,99192,0.12245925925925925,14,1
c+000564_r+002501,medium,49.74952251439582,12.976563293878085,550403.1351686919,2017,2.5,775,775,10219,0.01701394380853278,3,1
c-000049_r+001996,medium,41.66497070927135,-1.1160417771026019,722139.1530973825,2017,2.5,671,670,13862,0.030833907956491758,5,1
c+001281_r+002256,medium,45.97271265904935,29.476238408161347,519266.53116855805,2021,2.5,720,720,20841,0.0402025462962963,2,1
c-000035_r+001988,medium,41.523826665769015,-0.7968161682426924,778844.4508270046,2017,2.5,669,669,7472,0.01669493097030349,3,1
c-000115_r+001899,medium,39.97306791519798,-2.6427603141526244,1070344.7038660985,2024,3.5,914,914,94668,0.11332110759448213,20,1
c+001529_r+002424,medium,48.59733575751076,35.16261846649414,518277.2599367783,2019,2.5,757,757,5561,0.00970423122630002,3,1
c+000542_r+002687,medium,52.44207163055396,12.46515913638126,1624540.363312252,2017,3.5,1149,1149,68488,0.051876949040335525,9,2
c+000899_r+002326,medium,47.08062252166529,20.683374642049117,881509.3812779086,2023,2.5,735,735,10246,0.01896617150261465,2,1
c-000057_r+001835,medium,38.83734598457618,-1.3088814889488865,1341695.3427921264,2020,3.5,900,899,91091,0.11258311704362872,6,1
c-000287_r+001833,medium,38.808473098681716,-6.582563773215013,778770.0025778542,2023,2.5,643,643,90914,0.2198916915992057,18,1
c+000638_r+002691,medium,52.49580288060805,14.691444289404066,1014047.99479425,2023,3.5,1151,1151,17868,0.013487308659942134,6,1
c-000178_r+001896,medium,39.92320124830546,-4.088386266871042,1372629.8312770063,2020,3.5,914,914,79022,0.0945922652251148,6,1
c+000062_r+002122,medium,43.79875973887699,1.4300237327180427,509599.96652879834,2017,2.5,694,694,1017,0.0021115531231054156,3,1
c-000056_r+001838,medium,38.88984083941822,-1.268860801805899,1367122.90523142,2020,3.5,901,900,40069,0.04941299790356394,17,1
c-000231_r+001858,medium,39.25766490687261,-5.2913037346321,1510972.7436805218,2023,3.5,905,905,72012,0.08792405604224535,3,1
c-000033_r+002194,medium,44.978186944805955,-0.7429471042509574,1061087.2193998068,2017,3.5,990,991,22383,0.02281442069534905,3,1
c+000499_r+002201,medium,45.08408988863874,11.48242393992608,500046.3539862665,2023,2.5,710,709,5521,0.010967639404835217,4,1
c+000611_r+002636,medium,51.718443976543014,14.059537781217994,701579.9487057067,2017,2.5,808,808,4961,0.007598826095480835,1,1
c-000325_r+001879,medium,39.61784795971998,-7.459302806445111,861753.7588673019,2024,2.5,650,650,93406,0.2210792899408284,10,1
c+000740_r+002363,medium,47.65632024169485,17.029772410450903,534137.1049172147,2020,2.5,744,743,12712,0.022995991258918363,1,1
c-000242_r+001740,medium,37.119555431245736,-5.564019969712255,1915237.0557907908,2017,3.5,879,879,22998,0.029765440870986655,1,1
c+000622_r+002596,medium,51.14733861491402,14.31698189563556,736308.5290140772,2022,2.5,798,798,8330,0.013080947983995075,2,1
c-000104_r+001879,medium,39.62240552446585,-2.379829197469342,505247.03655974125,2024,2.5,650,650,7185,0.017005917159763313,3,1
c-000258_r+001662,medium,35.66698772886682,-5.9325652552841035,692390.4033009664,2023,2.5,617,616,8413,0.02213527963122777,2,1
c+001222_r+002524,medium,50.102164986349045,28.116536020278698,718101.1157815238,2021,2.5,780,780,11322,0.018609467455621302,2,1
c+000603_r+002623,medium,51.52894745898458,13.87732362637619,505726.2678507317,2023,2.5,805,805,35758,0.05517996990856834,16,1
c+000292_r+002703,medium,52.66587896329321,6.717457209436765,985627.1039993229,2023,2.5,825,825,34554,0.050768044077134984,3,1
c-000247_r+001876,medium,39.56692330414341,-5.6743515292248,919696.7465129789,2023,2.5,650,649,133792,0.31715538698589546,8,1
c+000690_r+002604,medium,51.26583050995036,15.883150676244364,572485.6567550347,2024,2.5,800,800,6615,0.0103359375,1,1
c-000236_r+001896,medium,39.92472106399904,-5.417477929637456,1296331.0532911879,2021,3.5,914,914,81026,0.09699112756106086,10,2
c+000613_r+002618,medium,51.45602529978112,14.10913518306754,1389319.7791022316,2017,3.5,1124,1124,73549,0.058216239662618255,6,1
c+000205_r+002677,medium,52.30070885722166,4.717829502452421,751794.0549731962,2019,2.5,819,819,15406,0.022967942381861797,2,1
c+001177_r+003226,medium,59.37018977776096,27.084059610883774,626805.4914218645,2022,2.5,983,983,49081,0.050793292689868146,2,1
c+001143_r+002053,medium,42.638371058505946,26.292042216022857,816228.6238723503,2023,2.5,680,681,26334,0.05686706400621923,6,1
c-000275_r+001879,medium,39.624890745550445,-6.304687910942467,810021.2440105666,2020,2.5,650,651,77646,0.18349521446295639,19,1
c-000078_r+001846,medium,39.046394726663586,-1.7923090131092236,571288.385177957,2017,2.5,644,645,7507,0.018072608214165342,3,1
c-000276_r+001799,medium,38.195599296014194,-6.338152708483922,795080.2526432647,2024,2.5,637,638,73810,0.18161641314350674,14,1
c+000035_r+001988,medium,41.52858321379708,0.8070953675152803,717296.3428564146,2017,2.5,669,669,29868,0.06673503723514783,27,1
c+000386_r+002915,medium,55.525417225392914,8.883726153381641,1572376.5633022988,2024,3.5,1237,1238,65384,0.042695405398698975,6,1
c+000013_r+002676,medium,52.283725199264396,0.3015529612290423,1344603.331021248,2023,3.5,1145,1145,101173,0.07717091588642475,15,1
c+000391_r+002809,medium,54.11857439088608,9.001567809928,503110.007950397,2017,2.5,854,854,6698,0.00918394769893983,5,1
c-000275_r+001880,medium,39.63474978280296,-6.304832786977206,1213722.4315236162,2021,3.5,910,910,70399,0.08501267962806425,23,1
c-000235_r+001899,medium,39.98568983458977,-5.3912517833629385,812187.5407365932,2023,2.5,653,654,82642,0.193512885716828,11,1
c-000054_r+001820,medium,38.567346529624196,-1.232314664187834,633809.0751491215,2020,2.5,641,640,8021,0.019551969578783152,2,1
c-000063_r+001775,medium,37.760653091799504,-1.4308622544195253,596612.8938910814,2020,2.5,634,633,21510,0.05359785907575463,8,1
c+000369_r+002928,medium,55.693763967125335,8.499029278837007,1486930.993965845,2022,3.5,1243,1243,17527,0.011343976792969026,3,1
c+000572_r+002244,medium,45.78631649381244,13.157283256217546,552411.3450042816,2017,2.5,718,718,13213,0.025630232540095128,2,1
c+000261_r+002135,medium,44.01477296658766,6.024003790772225,1444531.2424215255,2017,3.5,974,974,34734,0.03661313240769241,8,3
c+000537_r+002774,medium,53.63890484572833,12.363648209148273,1710283.4203016998,2021,3.5,1181,1181,24481,0.017552111078528866,2,1
c-000050_r+002682,medium,52.365441622200365,-1.1376197240763617,1234791.2082735405,2023,3.5,1147,1148,58195,0.04419573558047201,1,1
c-000060_r+002631,medium,51.644024998153796,-1.3734170046805045,1901865.5476242776,2017,3.5,1129,1129,75997,0.05962227795904886,8,1
c+000776_r+002281,medium,46.37570016094999,17.851337318875668,1021058.4943006783,2021,3.5,1016,1016,35909,0.03478691332382665,10,1
