chip_id,tier,split,continent,lat,lon,panel_frac_meta,gt_px,pred_px,tp,fp,fn,dice,iou,precision,recall,mean_prob,max_prob
c+004660_r+001532,small,val,Asia,33.20991552651746,107.17691856995916,0.0582161050389144,3812,4174,3688,486,124,0.9236,0.8581,0.8836,0.9675,0.0662,0.9999
c+000477_r+002456,small,test,Europe,49.08113773043263,10.981006033077028,0.0600340936917754,3930,4202,3824,378,106,0.9405,0.8877,0.91,0.973,0.0655,1.0
c-005057_r+002103,small,test,N_America,43.47765021287096,-116.28367959424922,0.09148348794628,5993,6030,5960,70,33,0.9914,0.983,0.9884,0.9945,0.0931,0.9999
c+001214_r-001155,small,test,Africa,-25.647763942795702,27.929700161616864,0.0704059910781482,4646,4927,4624,303,22,0.9661,0.9343,0.9385,0.9953,0.0762,0.9999
c-003324_r+000153,small,val,S_America,3.527788620028436,-76.43010167734347,0.0303255015054974,1993,2248,1980,268,13,0.9337,0.8757,0.8808,0.9935,0.0346,1.0
c+006410_r-001631,small,test,Oceania,-35.075014547890895,147.4214432985137,0.032178217510563,2115,2333,1991,342,124,0.8952,0.8103,0.8534,0.9414,0.0368,0.9998
c+002509_r-000899,small,val,Other,-20.228840319152845,57.71064846074724,0.0212705025538257,1392,1424,1292,132,100,0.9176,0.8478,0.9073,0.9282,0.0226,1.0
c+004610_r+000811,small,val,Asia,18.34048095169712,106.02707500628615,0.0778284148021167,5115,5840,4999,841,116,0.9126,0.8393,0.856,0.9773,0.0919,0.9999
c-000069_r+002779,small,val,Europe,53.71051064190084,-1.5752856822319927,0.0437554114567857,2849,2671,2567,104,282,0.9301,0.8693,0.9611,0.901,0.0415,1.0
c-003884_r+002137,small,test,N_America,44.042361080384765,-89.30834959048093,0.061160580196714,4025,4307,3959,348,66,0.9503,0.9053,0.9192,0.9836,0.0671,1.0
c-000017_r+001535,small,test,Africa,33.26761883208589,-0.3794483760120858,0.0586791806560764,3836,3795,3731,64,105,0.9779,0.9567,0.9831,0.9726,0.0582,1.0
c-003023_r-000989,small,test,S_America,-22.15845242047257,-69.50804342403208,0.0248860641608454,1653,1649,1649,0,4,0.9988,0.9976,1.0,0.9976,0.0252,1.0
c+006478_r-001495,small,val,Oceania,-32.475723448652914,148.98523054510898,0.0202188561430535,1326,1185,1185,0,141,0.9438,0.8937,1.0,0.8937,0.0183,0.9998
c-000397_r+001837,small,val,Other,38.87652332546475,-9.11825945992679,0.0384476370291652,2529,2229,2118,111,411,0.8903,0.8023,0.9502,0.8375,0.0351,1.0
c+004728_r+001972,small,test,Asia,41.25211505086712,108.74070581655442,0.083073040206422,5463,5339,5315,24,148,0.9841,0.9687,0.9955,0.9729,0.0819,0.9999
c+000488_r+002518,small,val,Europe,50.00625980756085,11.233971617085087,0.066218488491609,4339,3893,3862,31,477,0.9383,0.8838,0.992,0.8901,0.0609,0.9999
c-004487_r+001479,small,test,N_America,32.184244853268666,-103.17546296837716,0.0693959729896931,4544,4099,4096,3,448,0.9478,0.9008,0.9993,0.9014,0.0637,0.9999
c-000717_r+001276,small,test,Africa,28.149536214807352,-16.47725826743391,0.0544065030477305,3555,2951,2783,168,772,0.8555,0.7475,0.9431,0.7828,0.0474,0.9999
c-003085_r-001403,small,test,S_America,-30.67335241081396,-70.9338494429866,0.0309677524468969,2013,1839,1798,41,215,0.9335,0.8754,0.9777,0.8932,0.0287,0.9999
c+006454_r-001032,small,test,Oceania,-23.07127151316333,148.43330563454597,0.0861138597715714,5636,6821,5632,1189,4,0.9042,0.8252,0.8257,0.9993,0.1081,0.9999
c+004766_r+001961,medium,val,Asia,41.06165486382141,109.6145869249459,0.1669267277100355,10965,7827,7114,713,3851,0.7571,0.6092,0.9089,0.6488,0.148,0.9993
c-003597_r+001520,medium,test,N_America,32.97872196060971,-82.70824753499798,0.2014889925024761,13210,11226,10980,246,2230,0.8987,0.816,0.9781,0.8312,0.1812,0.9997
c+001929_r+002419,medium,val,Europe,48.52068751519422,44.37246312214059,0.2303266735517841,15093,15548,14759,789,334,0.9633,0.9293,0.9493,0.9779,0.2406,0.9998
c-003026_r-000991,medium,test,S_America,-22.201042812540503,-69.57703403785247,0.1255076080150915,8249,7420,7407,13,842,0.9454,0.8965,0.9982,0.8979,0.1142,0.9999
c+002046_r+001328,medium,test,Africa,29.198696216663155,47.06309706113537,0.1403732300539686,9214,9493,9096,397,118,0.9725,0.9464,0.9582,0.9872,0.1462,0.9998
c+006476_r-001497,medium,val,Oceania,-32.514516281061184,148.93923680256205,0.2476639577016639,16237,16089,15814,275,423,0.9784,0.9577,0.9829,0.9739,0.2477,0.9997
c+003097_r+001070,medium,test,Asia,23.89386154641742,71.23280876954158,0.1778152055716902,11656,9934,9869,65,1787,0.9142,0.842,0.9935,0.8467,0.1558,0.9997
c-003522_r+002459,medium,val,N_America,49.126305309602046,-80.98348218948851,0.1312648324519447,8610,8706,8452,254,158,0.9762,0.9535,0.9708,0.9816,0.1341,0.9999
c-000243_r+001855,medium,val,Europe,39.19804741905916,-5.5767412838139885,0.3894968720812448,25515,25511,25030,481,485,0.9811,0.9628,0.9811,0.981,0.3965,0.9992
c-001916_r-000739,medium,test,S_America,-16.739824641301986,-44.05050692431215,0.1864787483165554,12200,12054,11811,243,389,0.9739,0.9492,0.9798,0.9681,0.1886,0.9991
c-000496_r+000573,medium,val,Africa,13.073756207191035,-11.394949715999305,0.1329325299649701,8700,9416,8618,798,82,0.9514,0.9073,0.9153,0.9906,0.146,0.9999
c+006560_r-001226,medium,val,Oceania,-27.110467535618216,150.87097398953267,0.2482258345822881,16281,16752,16124,628,157,0.9762,0.9536,0.9625,0.9904,0.2623,0.9998
c+004850_r+001613,medium,val,Asia,34.754437111733395,111.5463241119165,0.1315041444084256,8606,10148,8352,1796,254,0.8907,0.8029,0.823,0.9705,0.1591,0.9999
c-005031_r+001505,medium,test,N_America,32.6888767807865,-115.68576094113926,0.1042846363988985,6817,6156,6139,17,678,0.9464,0.8983,0.9972,0.9005,0.0961,0.9999
c+000853_r+002408,medium,test,Europe,48.35285868999246,19.627829631897896,0.1636659431619656,10725,10383,9822,561,903,0.9306,0.8703,0.946,0.9158,0.1619,1.0
c-003249_r+000235,medium,test,S_America,5.407716558208715,-74.70533633183399,0.1658738004139375,10869,11275,10570,705,299,0.9547,0.9133,0.9375,0.9725,0.1732,0.9999
c+001421_r+001097,medium,test,Africa,24.46030959834928,32.69005251522303,0.1227553874991292,8063,8211,8030,181,33,0.9869,0.974,0.978,0.9959,0.1259,0.9999
c+006182_r-001595,medium,test,Oceania,-34.39466643756977,142.17815664816487,0.3676907718016071,24089,24426,23780,646,309,0.9803,0.9614,0.9736,0.9872,0.3806,0.9995
c+003392_r+001854,medium,test,Asia,39.18022336478076,78.0168857952122,0.2695011635413099,17655,16881,16620,261,1035,0.9625,0.9277,0.9845,0.9414,0.2622,0.9998
c-004235_r+001537,medium,test,N_America,33.30606653706873,-97.3802514074653,0.3507232551784753,22989,23236,22037,1199,952,0.9535,0.9111,0.9484,0.9586,0.3733,0.9997
c+003875_r+002138,large,val,Asia,44.05888952342029,89.12437462029325,0.6586824607231528,43172,42897,42623,274,549,0.9904,0.9811,0.9936,0.9873,0.6546,0.9985
c-005150_r+001617,large,test,N_America,34.829979690137506,-118.42238862268096,0.4733106840069079,31043,21950,21861,89,9182,0.8251,0.7022,0.9959,0.7042,0.3465,0.9999
c+001720_r+000922,large,val,Africa,20.74585346244345,39.566117025987495,0.5454983344337381,35720,14052,13267,785,22453,0.5331,0.3634,0.9441,0.3714,0.3768,0.999
c+005783_r-001471,large,test,Oceania,-32.00890801997215,133.00240501005447,0.7890633149908625,51725,48660,47817,843,3908,0.9527,0.9096,0.9827,0.9244,0.7671,0.9977
c-001693_r-000166,large,test,S_America,-3.803186274048005,-38.92220463033063,0.4770840034864623,31067,30165,29921,244,1146,0.9773,0.9556,0.9919,0.9631,0.4698,0.9995
c+002314_r+002689,large,test,Europe,52.46760455096612,53.226258562422586,0.4290908027983453,28130,321,321,0,27809,0.0226,0.0114,1.0,0.0114,0.0067,0.9941
c+003130_r+001243,large,test,Asia,27.47832262803616,71.99170552156573,0.6782845237491371,44467,41192,40412,780,4055,0.9436,0.8931,0.9811,0.9088,0.6396,0.9998
c-003630_r+001905,large,test,N_America,40.08347456003237,-83.46714428702215,0.4242271091716287,27787,27380,26974,406,813,0.9779,0.9568,0.9852,0.9707,0.422,0.9996
c+001721_r+000922,large,val,Africa,20.74585346244345,39.58911389726095,0.8305611902919742,54425,2257,2226,31,52199,0.0785,0.0409,0.9863,0.0409,0.0554,0.9958
c+006374_r-001623,large,test,Oceania,-34.92431053950183,146.59355593266918,0.4221485704869795,27667,25369,25331,38,2336,0.9552,0.9143,0.9985,0.9156,0.3952,0.9996
